"Id","season","team1","team2","team1seed","team2seed","fgm.x","fga.x","fgm3.x","fga3.x","fta.x","or.x","dr.x","ast.x","to.x","stl.x","blk.x","pf.x","n.x","fgm.y","fga.y","fgm3.y","fga3.y","fta.y","or.y","dr.y","ast.y","to.y","stl.y","blk.y","pf.y","n.y","Pred","ada"
"2016_1112_1114",2016,1112,1114,6,12,926,1922,215,562,848,384,944,479,423,162,158,601,33,776,1698,228,589,531,270,750,400,317,195,95,566,31,0.695688373003347,0.658990298749319
"2016_1112_1122",2016,1112,1122,6,16,926,1922,215,562,848,384,944,479,423,162,158,601,33,844,1837,205,588,855,366,818,425,480,228,91,582,33,0.864823707676975,0.849892519827692
"2016_1112_1124",2016,1112,1124,6,5,926,1922,215,562,848,384,944,479,423,162,158,601,33,858,1852,198,530,726,434,743,547,410,247,127,621,32,0.47006270775118,0.30424298356702
"2016_1112_1138",2016,1112,1138,6,14,926,1922,215,562,848,384,944,479,423,162,158,601,33,852,1962,243,725,819,399,882,414,456,222,115,702,33,0.805236747090678,0.865676315029211
"2016_1112_1139",2016,1112,1139,6,9,926,1922,215,562,848,384,944,479,423,162,158,601,33,868,1864,220,569,741,354,775,445,317,210,104,617,31,0.578344906375444,0.386940558000792
"2016_1112_1143",2016,1112,1143,6,4,926,1922,215,562,848,384,944,479,423,162,158,601,33,867,1881,233,632,780,374,945,428,403,136,159,682,33,0.411332157632122,0.459463471801789
"2016_1112_1151",2016,1112,1151,6,12,926,1922,215,562,848,384,944,479,423,162,158,601,33,803,1782,239,662,748,350,784,447,390,235,152,558,32,0.737187386931237,0.585472748234138
"2016_1112_1153",2016,1112,1153,6,9,926,1922,215,562,848,384,944,479,423,162,158,601,33,823,1925,242,701,645,432,828,495,354,254,186,500,32,0.592189960623268,0.467907839138844
"2016_1112_1160",2016,1112,1160,6,8,926,1922,215,562,848,384,944,479,423,162,158,601,33,805,1911,241,619,764,419,935,431,431,166,161,599,32,0.760035221155362,0.511937538518082
"2016_1112_1163",2016,1112,1163,6,9,926,1922,215,562,848,384,944,479,423,162,158,601,33,900,1959,239,660,581,322,920,471,378,194,171,612,34,0.511559852643724,0.324004492415801
"2016_1112_1167",2016,1112,1167,6,15,926,1922,215,562,848,384,944,479,423,162,158,601,33,751,1682,157,454,648,356,746,434,360,224,147,623,29,0.836051014360751,0.850613979068242
"2016_1112_1173",2016,1112,1173,6,7,926,1922,215,562,848,384,944,479,423,162,158,601,33,818,1780,215,620,730,317,920,470,418,189,142,610,32,0.654191638557663,0.645672300277961
"2016_1112_1181",2016,1112,1181,6,4,926,1922,215,562,848,384,944,479,423,162,158,601,33,905,1972,306,791,792,404,795,445,326,211,138,549,33,0.310707929801625,0.417717425509451
"2016_1112_1192",2016,1112,1192,6,16,926,1922,215,562,848,384,944,479,423,162,158,601,33,858,1880,225,617,631,327,700,437,403,228,78,669,31,0.846789412552197,0.874371143226896
"2016_1112_1195",2016,1112,1195,6,16,926,1922,215,562,848,384,944,479,423,162,158,601,33,818,1742,147,425,634,332,811,374,348,178,117,569,29,0.806204569930074,0.83855837745178
"2016_1112_1201",2016,1112,1201,6,14,926,1922,215,562,848,384,944,479,423,162,158,601,33,836,1942,201,586,740,366,819,418,340,261,119,712,32,0.751770925902012,0.744228484352106
"2016_1112_1211",2016,1112,1211,6,11,926,1922,215,562,848,384,944,479,423,162,158,601,33,896,1846,249,662,662,335,925,444,363,160,96,563,32,0.575560985356763,0.487209450078239
"2016_1112_1214",2016,1112,1214,6,16,926,1922,215,562,848,384,944,479,423,162,158,601,33,772,1847,198,641,775,422,817,368,416,157,110,614,30,0.897169731246744,0.780276253420929
"2016_1112_1218",2016,1112,1218,6,13,926,1922,215,562,848,384,944,479,423,162,158,601,33,778,1694,220,671,784,313,808,469,395,232,117,614,30,0.83705300669656,0.787121191554623
"2016_1112_1221",2016,1112,1221,6,16,926,1922,215,562,848,384,944,479,423,162,158,601,33,737,1785,236,721,644,269,725,459,362,213,83,555,33,0.915464398323736,0.891488862304861
